date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:48	17509/17509	---M-Z	200	added ('OK')	application/javascript	etag:%224465-5af06c5481ec9-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/parallax.min.js	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/js/parallax.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
22:06:48	13392/13392	---M-Z	200	added ('OK')	application/javascript	etag:%223450-5af06c510f1d1-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/custom.js	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/js/custom.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
22:06:48	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224ef8-5af06c4f21f35-gzip%22	https://jthemes.net/themes/html/bolby/demo/js/jquery.magnific-popup.min.js	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/js/jquery.magnific-popup.min.js	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
22:06:50	126428/126428	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221eddc-5af06c61409cb%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.eot	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:50	126192/126192	---M--	200	added ('OK')	application/font-sfnt	etag:%221ecf0-5af06c65a3a80%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.ttf	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.ttf	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:50	81612/81612	---M--	200	added ('OK')	application/font-woff	etag:%2213ecc-5af06c650f382%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.woff	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.woff	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:51	40460/40460	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229e0c-5af06c661db9f%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.eot	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:51	69608/69608	---M--	200	added ('OK')	text/html	etag:%2210fe8-5af06c6434784%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.woff2	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.html	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:51	40460/40460	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229e0c-5af06c661db9f%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.eot?	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400d41d.eot	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:51	713576/713576	---M--	200	added ('OK')	image/svg+xml	etag:%22ae368-5af06c5f8e0af%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.svg	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-brands-400.svg	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
22:06:52	14844/14844	---M--	200	added ('OK')	text/html	etag:%2239fc-5af06c5ba31d8%22	https://jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.woff2	E:/Programming/WebCopier/Bolby/jthemes.net/themes/html/bolby/demo/webfonts/fa-regular-400.html	(from https://jthemes.net/themes/html/bolby/demo/css/all.min.css)
